date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:14:10	481039/481039	---M-Z	200	added ('OK')	text/css	date:Wed,%2023%20Nov%202022%2016:42:33%20GMT	https://www.ivanmaia.com/wp-content/plugins/elementor-pro/assets/css/frontend.min.css?ver=3.7.5	C:/Users/Bruno%20Beas/Videos/Sites/Ivan%20Maia%20HTTrack/www.ivanmaia.com/wp-content/plugins/elementor-pro/assets/css/frontend.min3430.css	(from https://www.ivanmaia.com/oferta-curso-a-fina-arte-de-lidar-com-pessoas/)
17:14:10	39321/39321	---MCZ	200	added ('OK')	text/css	date:Wed,%2023%20Nov%202022%2016:44:52%20GMT	https://www.ivanmaia.com/wp-content/uploads/elementor/css/global.css?ver=1669221892	C:/Users/Bruno%20Beas/Videos/Sites/Ivan%20Maia%20HTTrack/www.ivanmaia.com/wp-content/uploads/elementor/css/global4133.css	(from https://www.ivanmaia.com/oferta-curso-a-fina-arte-de-lidar-com-pessoas/)
17:14:10	25733/25733	---MCZ	200	added ('OK')	text/css	date:Wed,%2023%20Nov%202022%2016:48:12%20GMT	https://www.ivanmaia.com/wp-content/uploads/elementor/css/post-325.css?ver=1669222092	C:/Users/Bruno%20Beas/Videos/Sites/Ivan%20Maia%20HTTrack/www.ivanmaia.com/wp-content/uploads/elementor/css/post-3250f40.css	(from https://www.ivanmaia.com/oferta-curso-a-fina-arte-de-lidar-com-pessoas/)
17:14:11	1519/1519	---M-Z	200	added ('OK')	text/css	date:Mon,%2010%20Apr%202023%2017:12:26%20GMT	https://www.ivanmaia.com/wp-content/plugins/add-to-any/addtoany.min.css?ver=1.16	C:/Users/Bruno%20Beas/Videos/Sites/Ivan%20Maia%20HTTrack/www.ivanmaia.com/wp-content/plugins/add-to-any/addtoany.mind47c.css	(from https://www.ivanmaia.com/oferta-curso-a-fina-arte-de-lidar-com-pessoas/)
17:14:11	3081/3081	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c09-5ffdb9fda5dcc%22	https://static.addtoany.com/menu/page.js	C:/Users/Bruno%20Beas/Videos/Sites/Ivan%20Maia%20HTTrack/static.addtoany.com/menu/page.js	(from https://www.ivanmaia.com/oferta-curso-a-fina-arte-de-lidar-com-pessoas/)
17:14:11	89684/89684	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2023%20Nov%202022%2016:40:21%20GMT	https://www.ivanmaia.com/wp-includes/js/jquery/jquery.min.js?ver=3.6.1	C:/Users/Bruno%20Beas/Videos/Sites/Ivan%20Maia%20HTTrack/www.ivanmaia.com/wp-includes/js/jquery/jquery.mina7a0.js	(from https://www.ivanmaia.com/oferta-curso-a-fina-arte-de-lidar-com-pessoas/)
17:14:11	11224/11224	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2014%20Dec%202020%2001:03:33%20GMT	https://www.ivanmaia.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	C:/Users/Bruno%20Beas/Videos/Sites/Ivan%20Maia%20HTTrack/www.ivanmaia.com/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://www.ivanmaia.com/oferta-curso-a-fina-arte-de-lidar-com-pessoas/)
17:14:12	129/129	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2010%20Apr%202023%2017:12:26%20GMT	https://www.ivanmaia.com/wp-content/plugins/add-to-any/addtoany.min.js?ver=1.1	C:/Users/Bruno%20Beas/Videos/Sites/Ivan%20Maia%20HTTrack/www.ivanmaia.com/wp-content/plugins/add-to-any/addtoany.min4963.js	(from https://www.ivanmaia.com/oferta-curso-a-fina-arte-de-lidar-com-pessoas/)
17:14:12	1317/1317	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2019%20May%202023%2017:30:47%20GMT	https://www.ivanmaia.com/wp-content/plugins/pixelyoursite/dist/scripts/jquery.bind-first-0.2.3.min.js?ver=6.1.3	C:/Users/Bruno%20Beas/Videos/Sites/Ivan%20Maia%20HTTrack/www.ivanmaia.com/wp-content/plugins/pixelyoursite/dist/scripts/jquery.bind-first-0.2.3.min6fb3.js	(from https://www.ivanmaia.com/oferta-curso-a-fina-arte-de-lidar-com-pessoas/)
17:14:12	1709/1709	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2019%20May%202023%2017:30:47%20GMT	https://www.ivanmaia.com/wp-content/plugins/pixelyoursite/dist/scripts/js.cookie-2.1.3.min.js?ver=2.1.3	C:/Users/Bruno%20Beas/Videos/Sites/Ivan%20Maia%20HTTrack/www.ivanmaia.com/wp-content/plugins/pixelyoursite/dist/scripts/js.cookie-2.1.3.min4c71.js	(from https://www.ivanmaia.com/oferta-curso-a-fina-arte-de-lidar-com-pessoas/)
